Atomic	Number	Element	Symbol	Atomic Radius [Å]	Ionic Radius [Å]	Covalent Radius [Å]	Van-der-Waals Radius [Å]	"Crystal" Radius [Å]
1	H	0.53	0.25	0.37	1.20	0.10
2	He	0.31	0.31	0.32	1.40	
3	Li	1.67	1.45	1.34	1.82	0.90
4	Be	1.12	1.05	0.90		0.41
5	B	0.87	0.85	0.82		0.25
6	C	0.67	0.70	0.77	1.70	0.29
7	N	0.56	0.65	0.75	1.55	0.30
8	O	0.48	0.60	0.73	1.52	1.21
9	F	0.42	0.50	0.71	1.47	1.19
10	Ne	0.38	0.38	0.69	1.54	
11	Na	1.90	1.80	1.54	2.27	1.16
12	Mg	1.45	1.50	1.30	1.73	0.86
13	Al	1.18	1.25	1.18		0.53
14	Si	1.11	1.10	1.11	2.10	0.40
15	P	0.98	1.00	1.06	1.80	0.31
16	S	0.88	1.00	1.02	1.80	0.43
17	Cl	0.79	1.00	0.99	1.75	1.67
18	Ar	0.71	0.71	0.97	1.88	
